,Review,Date,day,month,year
81,Your technical team is good but not at all time so plz improve your customer caring       READ MORE    , 26 Sep 2017,26,Sep, 2017
82,"Quality is of the camera is poorer when compared to my earlier mobile lemax2.  (Dont use zoom option, we get worst picture).      Afterall what we expect from a moble is for making calls. But here Network connectivity is very poor. And also for switching between  jio mobile data to idea mobile data it is taking so much time.    Mobile heating is also there. This is my second  s7 mobile, where the first one is returned due to malfunction of compass.    Same problem shows inaccurate positions in maps.      I don't suggest this 2017 model samsung galaxy s7.       READ MORE    ", 31 Oct 2017,31,Oct, 2017
83,Flipkart gave me good exchange offer during sale.....thanks flipkart    The phone's overall performance is best.    People who want to switch from one Samsung phone (as I had Note 4) to another Samsung phone must definitely go for this one       READ MORE    , 27 Oct 2017,27,Oct, 2017
84,"Timely delivery by Flipkart and contrary to my fear based on some of the reviews here phone was delivered in a solid state and not damaged.    Buy this phone if you are looking for a great camera , smooth processing ( can use Google launcher) , premium ip68 build and an awesome qhd display. I bought it for 27,390 and this phone is worth that price in 2017. Complete value for money I would say.    Don't buy this phone if you can wait for LG v30 or buy S8 or are currently using a large size phone. Took me a while to get used to this 5.1 inch phone since my Moto Z was 5.5 inches       READ MORE    ", 16 Oct 2017,16,Oct, 2017
85,"Phone has been out for so long and it's hard to    Ignore even the smallest of nuisances especially when the phone is near perfect looks and performance.    Comming to the pros-    -The best screen on any phone out in 2016 period (2017 flagship screens support hdr and it misses on that front).    -The camera is fast, accurate(thanks to the  dual pixel autofocus and auto mode ends up serving in most of the conditions. (pro mode brings a totally different dimension but most ppl dont take the hassle of doing it.)    -Build quality of the phone is next to none. Although it's bigger sibling s7 edge has that flow over design at the edges that mesmerizes pppl, I would say the 2.5 D gorilla glass display of s7 is more practical. Handling is top notch and the Ip68 dust and water resistance is icing on the cake.    -Gone are the days of ugly, finicky and sluggish samsung skins of the past and in comes the grace ux which is more of like a compliment to the OS rather than an overhauling. Yes the vanilla android is still the best option available but the work done by samsung over its ui spanning over several years finally looks to make a mark. (In a gd way ofcourse)    -The exynos 8890 version available in Indian market leads its snapdragon 820 counterpart in many of the tests done by many reviewers so that's an added bonus.    Although the cons are small in both number as well as quality but they still make a mark owing to how gd this phone actually is.    -The speaker quality as well as loudness is just average. (Thanks to the waterproofing)    -The hybrid sim slot provided makes the phone to be used either with two sims or a sim and a micro SD card. (Not fair samsung)    -The 3.5mm jack is there(thankgod) but the quality and amp is not up the mark. (My op3 easily outclasses it)    -The glass and metal body adds to the looks but doesn't do any favours when it come to handling smudges or falls(yes samsung is providing a one time screen replacement offer for just  990 but still...)    -The pathetic and dismal track record of samsung updating its phone long after it gets announced is a major sore point. S7 being a flagship will be among the first to get the update but it will still take a long time and in the process sometimes some versions get skipped also. Hope that samsung speed up their allotment and distribution process.    There you go the flagship of 2017 and arguably the best phone of the year might have lost its top position to the new and comming flagships of 2018 but given the price at which it is being offered makes it a must buy.       READ MORE    ", 9 Oct 2017,9,Oct, 2017
86,"Quite clearly one of the best phones I've ever used. Thanks flipkart, I got it on BBD and everything is a charm. The first couple of days the battery backup took some time to optimise, and after going through the settings and few tinkering you can get the best performance. The screen is fluid, the 2k screen is a beast and the camera ,my oh my. 5 out of 5       READ MORE    ", 5 Oct 2017,5,Oct, 2017
87,Very bad product. Over heating. Battery drain fast.       READ MORE    , 29 Sep 2017,29,Sep, 2017
88,"Little Background on me first- I have used a lot of smartphones and phones in the past almost 30 ( Between the range of 10000Rupees to 50000Rupees) So far ;-) , Currently i was using Iphone 6s plus .( Which was the worst phone that i have ever ever ever used soooo far).( if you have used a  high-end android phone in the past Then don't Buy Iphone ) Seriously U will regret it .        Seller's review- 1) Very fast delivery.    2)Good Packaging .      Hence,5 Star Rating.        Following is the pros and cons of the Phone-    Pros -    1) Build Quality is Amazing.    2) The Screen is Just amazing.    3) Best smart Phone Camera .    4) The smartphone is now IP 68 certified and can withstand water over 1.5 m for 30 minutes. This is a marked improvement and clearly shows that Samsung is going to listen to the fans.    5)The smartphone is able to accommodate a microSD card with up to 200 GB of storage space.      Cons-    1) even for this NON-Edge version ,Finding a tempered glass is very hard .As even in this version glass is slightly curved on the edges .    2) Fingerprint magnet .    3) Super slippery.Hence , it is highly recommended to carry this in a cover.    4) Way too much bloatware.          Overall its a Aweosme Phone .       READ MORE    ", 24 Sep 2017,24,Sep, 2017
89,"Very nice and value for money phone @29999/- . Go ahead guys, don't think twice  if  you are planning to buy this beauty....       READ MORE    ", 23 Sep 2017,23,Sep, 2017
90,Slightly overprices compared to my one plus but then the camera is worth at least 10 K       READ MORE    , 12 Apr 2017,12,Apr, 2017
91,Heats up a lot. Performance is good otherwise.       READ MORE    , 25 Jan 2017,25,Jan, 2017
92,Great mobile phone.    You should go for it.    Awesome camera.    Fast processor.       READ MORE    , 12 Oct 2016,12,Oct, 2016
93,Phone is superb  !    Really value for money .       READ MORE    , 27 Sep 2016,27,Sep, 2016
94,"Best compact flagship smartphone now on budget.I was looking for a compact phone as using 5.5 inch phone on the move is cumbersome. So op5, honor 8 pro was out of question. I was looking at moto x4 as it ticks all the right boxes but lacks only in processing power. Flipkart just made a blast and announced s7 at 29k just before moto x4 release and boy I was saved by a narrow margin. I got this with exchange of my 3yr old phone and sbi discount at 23k. It's the best smartphone I've ever owned. Excellent display, great camera, super compact design, fast charging, ip68 rating for peace of mind, Excellent audio output via audio jack, gear vr support. Although it's 1.5 year old phone but exynos 8890 was way ahead of its time and comparable to sd 821. You won't notice single glitch of hiccup in regular uses. Although I am a fan of stock android but now I feel samsung ui has lot of very useful customization and you won't need 3rd part apps to do them which is very handy. I am a very heavy user and with few tweaking I am getting 6/7 hrs of screen on time on Wi-Fi and 5/6 hours on mobile data. Phone gets heated while charging and very heavy usage on LTE but it's normal for a smartphone this powerful. 4gb ram and 32gb rom is enough for me since storing all your personal stuff on a portable device like this which can be stolen is very risky. Only gripe is front camera is not good but i am not a selfie person so its okay i guess. The plus points over honor 8 pro and oneplus 5 @23k is I got super amoled 2k screen, ois and eis in back camera, ip68 water resistance, samsung pay which is excellent feature and you should buy only for that reason If you have multiple cards you will know what I mean. I hope this phone will serve me for 3 more years easily.       READ MORE    ", 12 Oct 2017,12,Oct, 2017
95,"Excellent device at an excellent price...bought for 15k after exchange of my galaxy s6 and sbi  10% discount offer. Cracker of a deal. As expected no complaints on the device.Excellent Display n Camera, Smooth performance and a better battery backup than S6.       READ MORE    ", 23 Sep 2017,23,Sep, 2017
96,Buy this it's worth am using since March 16 lunch of it       READ MORE    , 2 Oct 2016,2,Oct, 2016
97,Store people offered less price as I just confirmed after purchase anyway it's best phone from Samsung       READ MORE    , 27 Sep 2016,27,Sep, 2016
98,"Delivered a day before than promised. Full marks for packaging. Full Volte support (jio sim works flawlessly), amazing camera, best built quality, super amoled display and above all hanset size, ergonomics are perfect to use (not too big nor too small). At Rs.30000 its a steal deal.         READ MORE    ", 23 Sep 2017,23,Sep, 2017
99,"Please do not buy expensive products from flipkart. I was using this for 6 months and found no issues. Now the phone is showing its real face, battery back up very bad. in 5 minutes drains for 5-6%.    Hangs quite often.    Gorilla glass 4 is broken while it slipped from my hand(hardly from 2-3 feet, with very low intensity and a cover on top of this phone)    Doesnt seem to be a genuine product.       READ MORE    ", 9 Jun 2017,9,Jun, 2017
100,"Phone is gud to have in hand. Nice design and royal look. Pic clarity is awesome even in very low light.    But heats up a lot playing games or working on camera for half an hour. sometimes heats up even in 10 minutes.    Takes a long time 6+ hours to charge from 5% to 100%. Battery backup is ok though. Neither too long lasting, nor on the shorter side.    Touch is awesome. The notification light I like Huawei's better than samsung, because if phn is charging n some msg comes on samsung, it doesn't show the charging notification. It shows notification of New/Unread message.    Finger print sensor is good. Unlocks the phone 9 out of 10 times. It really depends on how you have set the finger prints(different angels n different portions of the thumb/finger).    I'll give it 3.5 stars. -1.5 stars for the heat-up/ charging issue.       READ MORE    ", 31 Mar 2016,31,Mar, 2016
101,"Got the product delivered 2 days before expected delivery. This is smartphone is gem. My concern is the battery backup in long run but it's too early to say anything now. This easily beats iPhone 7 in performance. Photos produced by this phone is amazing. No heating issues while using, but fast charging does heat the phone a little bit but is of no major concern as it's normal with any phone that has fast charging. I liked one more thing about OS, I got Nougat out of the box with August 2017 security patch. S7 is a beast of a phone. Happy to lay my hands on it. Cheers to Samsung and double cheers to flipkart for great pricing during the BB SALE         READ MORE    ", 23 Sep 2017,23,Sep, 2017
102,"Trust me or not..    Your wish, this phone is going 48 degrees in pocket and 59 degrees while browsing.    I am getting a replacement, will see how the next one behaves.       READ MORE    ", 2 Oct 2017,2,Oct, 2017
103,One drawback of product you cannot insert two sim cards and sd card at the same time. Check before you buy this product.    Exchange guy checked the product thoroughly for half an hour as if he was searching alliance for  his relative.       READ MORE    , 23 Sep 2017,23,Sep, 2017
104,4.5 Rating is there.  but i m facing heat issue and battery drain very quickly .  even 1 day cannot use... dont know how many you like this. just for showcase purpose we can have.    camera also is over color capture and its looks artificial picture.. :(       READ MORE    , 2 Oct 2017,2,Oct, 2017
105,Product packaging was superb. Delivery time taken was fantastic. Thank you flipkart.       READ MORE    , 16 Sep 2016,16,Sep, 2016
106,"Delivers on all fronts. Great camera, fast response, beautiful screen, small tweaks in OS are actually useful.    Battery is not bad either. Although I do use Greenify for power management.    The Gear VR is mediocre though. Its bulky and not comfortable to use.    So having used S7 for more than 3 months I would say its a great buy. Definitely superior than its contemporaries.       READ MORE    ", 4 Oct 2016,4,Oct, 2016
107,Great phone but heats up if you run multiple apps... common complaint with the s7 series       READ MORE    , 12 Aug 2016,12,Aug, 2016
108,"Great Phone but a bit low than my expectations.    Pros:    1. Display is awesome, adjustable resolution between 720p,1080p &amp; 2160p is a very good feature. Video enhancement is also a great feature. Display 10/10.      2. Rear Camera is great. It don't struggles in any lighting condition. It can capture sharp images in direct lighting, dynamic range is high but images seems to be over saturated. On artificial and low lighting condition, the cemera does a greay job,but little bit noise can be noticed.    But Front Camera is not upto the mark. It can't capture sharp image. However the lens is wide.    So overall 8.5/10.      3.The phone is smooth and RAM Management is good. Touch is also great.      4. In hand feel is very good, it feels like a hardy and unbreakable. However it is very brittle as the front and back both pannel is made of glass. So its better to use cover and tempered glass as per requirement. Build quality 8/10. As I don't like glass back panel.      5.It has a very good battery life. Though the battery is 3000 mAh but it lasts a whole working day on average usage. Fast Charging also helps to charge within an half hour.      CONS:    1. Processor is not that great if compared to Snapdragon processor. CPU is most of the time more than 80% loaded. And thats why device overheats many times. Process Management 7/10.      2. Sound via mono speaker is very low. Ringtone and notification sound can be heard but speaker is not suitable for media playback. Songs and video sound is very low. Hoever sound is clear. Speaker 5/10.      3. Sound via headphone jack is also very low. It produces loudness when its volume is full is equal to Redmi note 3's 60%. Bass is also not available. So 6/10.       READ MORE    ", 8 Oct 2017,8,Oct, 2017
109,The product heats like anything. Even if the device heats to 39 degree celceius flipkart refused to replace my product.       READ MORE    , 2 Oct 2017,2,Oct, 2017
110,Have a heating problem alot....       READ MORE    , 24 Sep 2017,24,Sep, 2017
111,Great mobile.easy usage.well standing battery.worth d money.loved d design.handy.       READ MORE    , 22 May 2016,22,May, 2016
112,Probablybthe best 5 inch smart phone in the market. Camera n performance is good. The Ui is a bit laggy. If water resistance n smart sim tray is not a need one plus 3 is a better option. Hold charge for a whole day with 2 sim cards on n 4g data full time on. Finding glass screen guards are a problem as the edges are curved.       READ MORE    , 13 Oct 2016,13,Oct, 2016
113,i bought this mobile ...because the service given by flipkart excellent. always prefer to buy real products in flipkart       READ MORE    , 20 Jun 2016,20,Jun, 2016
114,"Pros:      The features are good. Fingerprint scanner works well. Quite fast. Does not get heated. Battery life of 1 day if heavily used, 2+ days for moderate use.      Cons:      Does not seem to be drop tested. Had a screen crack after a fall with the phone in pocket which costed Rs. 8 K to fix. Recommend that you get an Otterbox case along with this.       READ MORE    ", 28 Sep 2016,28,Sep, 2016
115,"Dont buy it for Camera. Camera is Poor(compared to price(20k~30k) and praise everywhere on Internet about camera) with ISOCELL sensor.    Everything else is ok but mainly purchased phone for camera and that is the biggest disappointment.    It takes totally faded images. On mobile screen it may look ok but if you see on LCD monitor you can clearly find that camera is just very poor. Details and sharpness are there but color is too poor in all lighting conditions. It lacks color contrast. You need to use snapseed to get something useful. Selfie camera is just poor.    Other phones in less than 10k(like cool1 dual) take better coloured(but not better sharpness and details) pictures than this so called past year's flagship from Samsung. All images are oversharpened and so on mobile screen it may give fake feeling of lots of details. But when you see on computer screen, you will feel cheated. Camera is fast and captures details. But no colours. All images are smearing and faded.    Camera has option to store raw image when using pro mode. I feel that also lacks good colour capture. Default camera just over sharpens and over process it.      Flipkart is good. But Samsung cheated by putting life less ISOCELL sensor for camera instead of Sony IMX sensor. Mostly good coloured images you see on Internet is because of any of the three reasons mostly:    1) Image is edited to enhance colours.    OR    2) Sony IMX sensor is used instead of ISOCELL. No matter what other paid/biased reviewers comment on this, fact is that Sony IMX sensor variant S7 takes better images than ISOCELL variant. S7 captures mediocre colours. Colours are very important image quality. Samsung should mention camera sensor name exactly the way they mention cpu name. Especially when they highlight camera as one of the main qualities of the phone.    OR    3) You have not compared images side by side with other good camera phones. You have not given enough thought to it.      Now other IMP points are,    1) Fingerprint sensor is not as fast+accurate as other less than 10k phones from LeEco, Xiaomi, Coolpad, Lenovo etc. And moreover, you need to hard press it once then only it will detect fingerprint touch. You need to awake  phone from sleep, then only fingerprint sensor will work. Its kind of very uncomfortable and its designed like that only. Its not always active capacitive fingerprint sensor like other regular phones.    2) No IR blaster. Very stupid Samsung! Its more useful than barometer you put in your phone. Not everyone have smart TV. It would not cost you much. Le2 phone has IR code learning capability as well and so it can copy any non standard IR remote, Thats useful.    3) Heated up when started the phone first time. After 2 days, heating is under 40 degree most of the time even during charging. I dont keep GPS and NFC on. But 4G internet + hotspot, does not heat up phone much. To my experience, heat management and battery back up are good. Always on display feature consumes 1 percent per hour approximately. Battery back up is not outstanding. But it is not poor as well. Its good enough. I get 2 days(Internet always on+intermittent hotspot) with 1 hour SOT easily. Once observed 5 hours 30 minutes of SoT with 24 hours on 4G. Thats sufficient for me. It does not bother me.    4) Display is good but most of the time we use HD resolution to save battery(It has option to set display resolution to HD, FHD or QHD). So, it is like any other normal AMOLED display. But sometimes you just need a break from overly saturated unreal AMOLED display. Overall its good.    5) Observed ocassional lags with small game like raging thunder 2. But I m sure this can be fine tuned by using performance mode or may be some small random glitch. I dont play games much. But I think that phone should be able to run most games easily. No comments on Exynos vs SD processor variants.    6) Samsung pay seems good option. But did not try.      If buying it as a regular phone accepting pros, cons, (in between average to good camera)---  go ahead.    If buying it with excellent camera expectations--- You will be dissapointed after spending 30k.    Waking up phone by hard pressing button, before using fingerprint is annoying. Keep it in mind before buying.       READ MORE    ", 25 Oct 2017,25,Oct, 2017
116,"Got this phone during bbd offer. Display is super, rear camera is awesome, read few review about the phone that it heats up for that u need to use optimised battery setup also just turn off the fast charging mode only on it when you are in real hurry, front camera takes nice selfie during day time light earlier I was using large screen size phone so was feeling a bit small screen but after using it for some times it is best for using with 1 hand. As usual delivery by ecart is great and on time.       READ MORE    ", 25 Sep 2017,25,Sep, 2017
117,Extremely happy with the phone. Delivery experience was good as well. Have been using it for an year and there is nothing really to complain about. Special mention of the camera.    Highly recommended.       READ MORE    , 10 Jul 2017,10,Jul, 2017
118,1.Phone is heating up.    2.poor battery backup    3.no wireless charger with the handset    4.front camera is not as good as the price of this phone       READ MORE    , 4 Oct 2017,4,Oct, 2017
119,This is my second smartphone purchase during the flipkart BBD and boy it has been one amazing experience. Purchased one during last year sales as well. Coming to Samsung Galaxy s7 it's a steal at this price. Flipkart delivered it in less than 48 hrs. Thanks flipkart for this amazing offer and keep up the good work!!      Ps.: Was using an iPhone for about a year now but feels great to back on my beloved Android. IPhone is overhyped and it seriously felt like a jail with all the limitations and reduced functionality.       READ MORE    , 22 Sep 2017,22,Sep, 2017
120,The best smartphone Samsung ever made       READ MORE    , 8 Aug 2016,8,Aug, 2016
121,"This is one of the best mobile for the price it's been offered. Great display, one of the best camera and lag free performance. Compared to old days, not much bloatware apps in this. Even the extra apps are very useful, especially Samsung SPay. Only disappointment is, battery is not so great. That's why gave 4 star. But it's real worth for money for 20k odd if you are exchanging old phone       READ MORE    ", 8 Nov 2017,8,Nov, 2017
122,The phone has the best size as I keep me phone in my jeans pocket.Earlier I was using LG G4 which was a lttle bigger for my pocket.The main reason for switching from LG G4 to S7 was size.everything in the Galaxy S7 is better than LG G4 expect the camera.I am not gettind as much as details in picture as LG G4.Both the front and rear camera were good in LG G4.S7 has hybrid sim and not true dual sim.I am a bit unsatisfied with S7 .       READ MORE    , 6 Nov 2017,6,Nov, 2017
123,"Hi Guys, This phone is awesome, just look negative feedbacks, don't  follow that negative feedback, why becous I bought so many product in flipkart, all products are in good condition and excellent service by flipkart, now I talk about my galaxy s7, 1- premium outlook, 2-excellent speed, 3-excellent crystal clear camera, 4- so many sensor features, 5-long lasting battery backup, 6-dash charging and wireless charging is faster... 7-i used this phone for continues 5 to 6 hours, no heating issue, I write this review after iam using this phone for 4 weeks.    So don't miss this flipkart offer and miss this high ended Samsung phone. I spend this time for review, because users never miss this opportunity.       READ MORE    ", 25 Oct 2017,25,Oct, 2017
124,"If you are looking for perfect phone under 40k in terms of camera (best in class), build quality, premium look, decent music quality (specially earphones) and option to expand memory, go for it blindly. I have been using Samsung Galaxy Note 2 for almost 5 years.This time, I was thinking to move to other brands and finalized many phones around 35k like Honor 8 Pro, Nokia 8, One Plus 5, LG G6, LG v30, Moto Z2 and Samsung S7. I listed every positives and negative of these listed devices e.g. One Plus 5 has not SD Card slot. Finally I found, Samsung is giving more than others including few unique sensors and great headphones.    I wanted best camera out of these listed phones and Samsung S7 was clear winner.  Samsung Galaxy S7 was last year's flagship of S series, but tough competitor for other brands 2018 flagships and it has some advantages over other listed phones e.g. service support, Camera quality, resale and of course name. Here are few more brief aspects.      Pros:    1. Best Camera under 40k ( except Note 8 and Pixels),    2. RAW Images support    3. Build Quality    4. Polished Touchwiz (Far better than previous Touchwiz versions)    5. Great audio quality headphones (included in box)    6. Performance      Cons:    1. Micro USB    2. Fingerprint Scanner (no Touch wake up)       READ MORE    ", 23 Oct 2017,23,Oct, 2017
125,"Phone is good but, it's tampered glass not available in the market, if it's available in  the online it's not perfectly suitable.       READ MORE    ", 15 Oct 2017,15,Oct, 2017
126,"Bought this for my wife. 5.1 inch display fits nicely in her hands. The phone is powered by solid hardware. Runs everything without a lag. Camera is awesome, and is almost at par with that of my Nexus 6P. Overall, a great experience!       READ MORE    ", 14 Oct 2017,14,Oct, 2017
127,Heating issue .       READ MORE    , 13 Oct 2017,13,Oct, 2017
128,"I was using a OnePlus 3 since the last 1.5 years and was finding the 5.5 inch phone a little too wide for me and so was looking for a smaller phone but with no compromises on specs, S7 was always in my radar but the high price of 43k held me back, so recently during the Sale I exchanged my Oneplus 3 and got the S7 Silver color for 18500 Rs which is a big bargain for this lovely phone.      Pros:    1. Perfect size in hand due to relatively small size feels very nice in hand.    2. Just Gorgeous display, it's just amazing and you have to see it to believe it.    3. The Silver colour looks awesome.    4. The Camera is excellent.    5. Phone is very fast and feels very fluid.      Cons:    1. It's very slippery and fingerprint prone and so a case or cover is must for it.    2. Coming from a OnePlus 3 it's charging seems slower.    3. The earphone given with the phone are not good, sound quality is just so so.      Overall I am very happy with this S7, I was planning for an S8 but at this price it's a great phone and must buy, Samsung has really made a very high end premium product.      Thanks Flipkart for the great offer, quick delivery and excellent packing.       READ MORE    ", 12 Oct 2017,12,Oct, 2017
129,"Upgraded from ObePlus3 but feels like op3 was more fluid and reliable than this.In terms is  camara department it's a miner upgrade but still op3 camera is a nice one.in terms is display and battery department it's the best one.but one con I find its fingerprint scanner is not a active one,means you have to wake the screen to unlock.its accurate but not as fast as op3. Overall happy with did but missing my op3.       READ MORE    ", 9 Oct 2017,9,Oct, 2017
130,Awesome phone at 30k .... value for money !!!  No phone can match it in 40k range also... beats all flagships in that range like oneplus 5 and iphone 6s/7 also..       READ MORE    , 6 Oct 2017,6,Oct, 2017
131,"Even though this phone has liquid cooling it still gets really hot within 20minutes of use. And battery drain is in 5 hours of use. Not expected from such high end phone. The temperature reaches 40degrees plus which is really scary. The flipkart engineer  is not ready to accept this not a problem. I am disappointed and dissatisfied client, Anoop A client who has been associated with flipkart for such long time. I have bought Mi phones from flipkartfor much less and never faces this problem. Extremely disappointed that flipkart has decided not give replacement for this phone. Don't buy this phone.       READ MORE    ", 4 Oct 2017,4,Oct, 2017
132,"upgraded from s6 to s7.    Could not see much of the difference in terms of speed and performance, except battery and advantage that its is dual sim.    Nevertheless good mobile to buy. It will never let you down. No time lag, no hang up problem, excellent camera, average battery life.       READ MORE    ", 4 Oct 2017,4,Oct, 2017
133,The mobile gets extremely heated up above 42degrees. Requested replacement and waiting for the replacement piece.       READ MORE    , 3 Oct 2017,3,Oct, 2017
134,Phone is great .. but flipkart sucks .. last season i shopped with flipkart       READ MORE    , 28 Sep 2017,28,Sep, 2017
135,"Only one word awesome. Alredy reviwed by millions so my experience does not matter. I got it during Big Billion Day only for 21500. Yes thats true. No other brand even near to it. My old J7 exchanged for 8500 when new one was 9400. Could not believe anybody can get it in this price. I m lucky though. Those who compaint about battery and heating issue, please follow some steps to disable unwanted apps and fast charging. This issue is came after Naugot update and for every device. Wait for sometime so Samsung would surely release patch update to fix those issues. Dont forget its going to taste Oreo in next month October. Might be possible that due to this Samsung yet not update anything on Naugot.       READ MORE    ", 24 Sep 2017,24,Sep, 2017
136,"Flipkart rocking, Great offer!!! I received the product before the actual delivery date &amp; I got full weekend to enjoy with Galaxy S7. Packing was good, Actually It looked like as if I brought it from the nearby Samsung store, it was so new.    It was very lovable experience unboxing the Phone. Holding the phone was magical.    I recommend the Phone specially this time because of the offer &amp; today is the last day so hurrry guys!       READ MORE    ", 24 Sep 2017,24,Sep, 2017
137,Nice       READ MORE    , 31 Dec 2016,31,Dec, 2016
138,Awesome       READ MORE    , 20 Oct 2016,20,Oct, 2016
139,Best mobile phone       READ MORE    , 12 Nov 2017,12,Nov, 2017
